DATE,Min Temp,Max Temp,Total Precipitation,Avg Soil Moisture,Daytime Avg ET,Daytime Avg VPD,Daytime STDEV VPD,Daytime Max RH,Daytime STDEV RH,Description,Tower
2023-12-06,31.86,37.44,0,0.46,0.22,0.04,0.01,96.02,1.9,Sunny,fluxtower1
2023-12-05,35.06,42.3,0.03,0.46,0.67,0.08,0.05,96.88,5.22,Rain,fluxtower1
2023-12-04,31.04,39.21,0,0.46,0.79,0.14,0.05,92.22,5.77,Sunny,fluxtower1
2023-12-03,37.75,42.19,0.05,0.47,0.71,0.08,0.04,97.87,5,Rain,fluxtower1
2023-12-02,41.21,47.98,0.03,0.47,0.25,0.03,0.02,99.24,1.91,Rain,fluxtower1
2023-12-01,41.2,46.13,0.31,0.46,0.15,0.02,0.01,99.01,1.39,Rain,fluxtower1
2023-11-30,30.53,54.69,0,0.42,0.67,0.36,0.19,89.83,11.72,Sunny,fluxtower1
2023-11-29,15.86,45.92,0,0.41,0.56,0.23,0.12,83.56,7.98,Sunny,fluxtower1
2023-11-28,15.8,22.88,0,0.42,0.73,0.12,0.03,77.86,5.67,Sunny,fluxtower1
2023-11-27,22.64,30.17,0,0.44,1.44,0.12,0.03,88.26,6.11,Sunny,fluxtower1
2023-11-26,24.44,33.28,0.06,0.44,0.32,0.04,0.04,98.55,6.7,Rain,fluxtower1
2023-11-25,26.37,37.22,0,0.44,0.4,0.23,0.08,82.9,8.8,Sunny,fluxtower1
2023-11-24,26.9,37.8,0,0.45,0.72,0.23,0.08,88.39,9.46,Sunny,fluxtower1
2023-11-23,29.82,47.38,0,0.45,1.02,0.26,0.12,88.99,9.15,Sunny,fluxtower1
2023-11-22,30.6,41.87,0,0.46,0.79,0.11,0.05,97.9,5.71,Sunny,fluxtower1
2023-11-21,39.71,44.41,0.11,0.46,0.95,0.1,0.07,98.26,6.63,Rain,fluxtower1
2023-11-20,43.47,47.76,0,0.45,1.08,0.33,0.07,74.55,5.31,Sunny,fluxtower1
2023-11-16,38.03,62.58,0,0.45,0.36,0.58,0.17,78.12,6.21,Sunny,fluxtower1
2023-11-15,32.88,66.63,0,0.45,0.65,1.01,0.37,64.73,8.6,Sunny,fluxtower1
2023-11-14,26.76,62.27,0,0.45,0.81,0.96,0.39,78.7,14.93,Sunny,fluxtower1
2023-11-13,34.51,62.91,0,0.45,0.84,0.93,0.44,77.94,15.78,Sunny,fluxtower1
2023-11-12,35.11,57.66,0,0.46,0.67,0.65,0.28,73.98,12.45,Sunny,fluxtower1
2023-11-11,23.26,50.1,0,0.46,0.55,0.39,0.19,90.61,12.65,Sunny,fluxtower1
2023-11-10,33.72,50.97,0,0.47,0.93,0.52,0.19,77.41,11.58,Sunny,fluxtower1
2023-11-09,41.3,67.6,0,0.48,1.05,0.71,0.32,87.91,20.48,Sunny,fluxtower1
2023-11-08,45.43,76.83,0,0.47,0.21,0.8,0.34,78.78,6.54,Sunny,fluxtower1
2023-11-07,41.42,61.81,0,0.47,0.61,0.52,0.27,89.81,12.54,Sunny,fluxtower1
2023-11-06,44.78,69.62,0,0.47,0.27,0.67,0.19,82.81,7.48,Sunny,fluxtower1
2023-11-05,28.56,60.66,0,0.46,0.9,0.63,0.4,99.39,22.6,Sunny,fluxtower1
2023-11-04,42.65,60.6,0,0.46,0.53,0.57,0.25,82.4,10.82,Sunny,fluxtower1
2023-11-03,37.08,58.39,0,0.1,1.19,0.85,0.28,71.92,11,Sunny,fluxtower1
2023-11-02,28.54,53.62,0,-0.01,1.19,0.51,0.26,87.15,15.39,Sunny,fluxtower1
2023-11-01,25.44,43.07,0,-0.01,1.06,0.31,0.17,93.87,16.72,Sunny,fluxtower1
2023-10-31,22.18,34.65,0,-0.01,1.45,0.19,0.07,91.6,10.02,Sunny,fluxtower1
2023-10-30,32.28,45.01,0.07,-0.01,2.14,0.32,0.13,82.03,12.31,Rain,fluxtower1
2023-10-29,44.76,48.76,0.31,-0,0.32,0.06,0.02,96.65,1.27,Rain,fluxtower1
2023-10-28,40.19,63.28,0.02,-0.01,1.14,0.34,0.14,90.76,8.91,Rain,fluxtower1
2023-10-27,57.71,75.47,0.01,-0.01,1.43,0.54,0.27,93,8.07,Rain,fluxtower1
2023-10-26,60.86,74.27,0.05,-0.01,0.89,0.52,0.33,93.58,11.89,Rain,fluxtower1
2023-10-25,57.5,67.95,0.19,-0.01,2.3,0.34,0.17,93.01,6.71,Rain,fluxtower1
2023-10-24,51.57,78.12,0,-0.01,0.78,1.32,0.43,72.31,8.13,Sunny,fluxtower1
2023-10-23,36.61,68.77,0,-0.01,1.24,0.96,0.44,84.43,14.06,Sunny,fluxtower1
2023-10-22,43.62,58.84,0,-0.01,0.68,0.57,0.27,86.72,14.1,Sunny,fluxtower1
2023-10-21,36.95,69.69,0,-0.01,1.55,0.91,0.49,97.54,18.23,Sunny,fluxtower1
2023-10-20,49.38,61.1,0.01,-0.01,1.12,0.48,0.3,93.09,16.15,Rain,fluxtower1
2023-10-19,53.34,61.15,0.05,-0.01,1.38,0.15,0.07,96.19,4.54,Rain,fluxtower1
2023-10-18,43.88,67.47,0,-0.01,1.19,1.05,0.2,58.64,5.29,Sunny,fluxtower1
2023-10-17,34.2,63.54,0,-0.01,1.33,0.62,0.36,99.77,17.77,Sunny,fluxtower1
2023-10-16,47.36,52.82,0,-0.01,0.79,0.17,0.06,94.71,3.85,Sunny,fluxtower1
2023-10-15,47.21,54.53,0,-0.01,1.56,0.24,0.12,93.83,8.33,Sunny,fluxtower1
2023-10-14,50.32,60.7,0.06,-0,1.5,0.12,0.03,94.48,2.38,Rain,fluxtower1
2023-10-13,53.63,68.99,0.39,0.23,0.29,0.44,0.33,97.42,13.84,Rain,fluxtower1
2023-10-12,49.84,77.26,0,0.37,0.82,1.13,0.54,85.26,12.88,Sunny,fluxtower1
2023-10-11,32.45,68.41,0,0.36,1.12,0.91,0.45,94.42,16.58,Sunny,fluxtower1
2023-10-10,30.7,62.56,0,0.37,1.54,0.94,0.43,95.65,20.12,Sunny,fluxtower1
2023-10-09,38.77,58.49,0,0.37,1.29,0.73,0.27,94.93,14.21,Sunny,fluxtower1
2023-10-08,41.51,57.4,0,0.37,1.05,0.62,0.22,80.78,10.71,Sunny,fluxtower1
